[2022-08-08 23:34:35.711031][Task_List] ['receive_energy', 'mission_explore', 'shopping', 'mission_arena', 'mission_gashapon', 'mission_guild', 'mission_dungeons', 'mission_princess_arena', 'mission_complete']
[2022-08-08 23:34:35.765719][Task] initial
[2022-08-19 00:07:57.217249][mission_dungeons][comfirm_button][idle] 4.19 seconds
[2022-08-19 00:08:01.409298][Task] mission_gashapon
[2022-08-19 00:08:01.409298][Task] <click> gashapon_button
[2022-08-19 00:08:01.412027][mission_gashapon][gashapon_button][click] (980.0, 684.0)
[2022-08-19 00:08:01.415915][mission_gashapon][gashapon_button][idle] 7.8 seconds
[2022-08-19 00:08:09.217196][Task] <click> blank_button
[2022-08-19 00:08:09.217196][mission_gashapon][blank_button][click] (65.0, 150.0)
[2022-08-19 00:08:09.224033][mission_gashapon][blank_button][idle] 4.94 seconds
[2022-08-19 00:08:14.164942][Task] <click> normal_button
[2022-08-19 00:08:14.164942][mission_gashapon][normal_button][click] (1204.0, 95.0)
[2022-08-19 00:08:14.171777][mission_gashapon][normal_button][idle] 7.42 seconds
[2022-08-19 00:08:21.592880][Task] <click> free_button
[2022-08-19 00:08:21.592880][mission_gashapon][free_button][click] (935.0, 456.0)
[2022-08-19 00:08:21.599716][mission_gashapon][free_button][idle] 3.06 seconds
[2022-08-19 00:08:24.660232][Task] <click> ok_button
[2022-08-19 00:08:24.660232][mission_gashapon][ok_button][click] (790.0, 489.0)
[2022-08-19 00:08:24.667069][mission_gashapon][ok_button][idle] 11.35 seconds
[2022-08-19 00:08:36.018294][Task] <click> receive_button
[2022-08-19 00:08:36.019271][mission_gashapon][receive_button][click] (651.0, 595.0)
[2022-08-19 00:08:36.025130][mission_gashapon][receive_button][idle] 3.7 seconds
[2022-08-19 00:08:39.725451][Task] mission_guild
[2022-08-19 00:08:39.725451][Task] <click> main_button
[2022-08-19 00:08:39.727405][mission_guild][main_button][click] (104.0, 699.0)
[2022-08-19 00:08:39.731311][mission_guild][main_button][idle] 5.17 seconds
[2022-08-19 00:08:44.903259][Task] <click> guild_button
[2022-08-19 00:08:44.903259][mission_guild][guild_button][click] (924.0, 578.0)
[2022-08-19 00:08:44.909118][mission_guild][guild_button][idle] 7.61 seconds
[2022-08-19 00:08:52.520337][Task] <click> blank_button
[2022-08-19 00:08:52.520337][mission_guild][blank_button][click] (54.0, 143.0)
[2022-08-19 00:08:52.525220][mission_guild][blank_button][idle] 3.67 seconds
[2022-08-19 00:08:56.195274][Task] <click> friend_button
[2022-08-19 00:08:56.195274][mission_guild][friend_button][click] (330.0, 469.0)
[2022-08-19 00:08:56.201134][mission_guild][friend_button][idle] 5.29 seconds
[2022-08-19 00:09:01.491474][Task] <click> like_button
[2022-08-19 00:09:01.491474][mission_guild][like_button][click] (1094.0, 419.0)
[2022-08-19 00:09:01.496357][mission_guild][like_button][idle] 5.93 seconds
[2022-08-19 00:09:07.427708][Task] <click> blank_button
[2022-08-19 00:09:07.427708][mission_guild][blank_button][click] (68.0, 138.0)
[2022-08-19 00:09:07.432592][mission_guild][blank_button][idle] 4.85 seconds
[2022-08-19 00:09:12.284120][Task] mission_princess_arena
[2022-08-19 00:09:12.284120][Task] <click> adventure_button
[2022-08-19 00:09:12.287051][mission_princess_arena][adventure_button][click] (621.0, 678.0)
[2022-08-19 00:09:12.291933][mission_princess_arena][adventure_button][idle] 6.15 seconds
[2022-08-19 00:09:18.442568][Task] <click> princess_arena_button
[2022-08-19 00:09:18.442568][mission_princess_arena][princess_arena_button][click] (1133.0, 558.0)
[2022-08-19 00:09:18.447451][mission_princess_arena][princess_arena_button][idle] 5.3 seconds
[2022-08-19 00:09:23.748438][Task] <click> blank_button
[2022-08-19 00:09:23.748438][mission_princess_arena][blank_button][click] (69.0, 145.0)
[2022-08-19 00:09:23.753321][mission_princess_arena][blank_button][idle] 4.78 seconds
[2022-08-19 00:09:28.534150][Task] <click> receive_button
[2022-08-19 00:09:28.534150][mission_princess_arena][receive_button][click] (394.0, 445.0)
[2022-08-19 00:09:28.540009][mission_princess_arena][receive_button][idle] 3.64 seconds
[2022-08-19 00:09:32.180546][Task] <click> blank_button
[2022-08-19 00:09:32.180546][mission_princess_arena][blank_button][click] (65.0, 140.0)
[2022-08-19 00:09:32.185428][mission_princess_arena][blank_button][idle] 5.75 seconds
[2022-08-19 00:09:37.936169][Task] <click> first_person
[2022-08-19 00:09:37.936169][mission_princess_arena][first_person][click] (800.0, 232.0)
[2022-08-19 00:09:37.941054][mission_princess_arena][first_person][idle] 3.04 seconds
[2022-08-19 00:09:40.981146][Task] <click> next_team_button
[2022-08-19 00:09:40.981146][mission_princess_arena][next_team_button][click] (1113.0, 604.0)
[2022-08-19 00:09:40.986030][mission_princess_arena][next_team_button][idle] 5.61 seconds
[2022-08-19 00:09:46.597378][Task] <click> next_team_button
[2022-08-19 00:09:46.597378][mission_princess_arena][next_team_button][click] (1102.0, 594.0)
[2022-08-19 00:09:46.605191][mission_princess_arena][next_team_button][idle] 5.9 seconds
[2022-08-19 00:09:52.506949][Task] <click> attack_button
[2022-08-19 00:09:52.506949][mission_princess_arena][attack_button][click] (1121.0, 610.0)
[2022-08-19 00:09:52.511834][mission_princess_arena][attack_button][idle] 11.13 seconds
[2022-08-19 00:10:03.642983][Task] <click> skip_button
[2022-08-19 00:10:03.642983][mission_princess_arena][skip_button][click] (1227.0, 471.0)
[2022-08-19 00:10:03.648103][mission_princess_arena][skip_button][idle] 10.48 seconds
[2022-08-19 00:10:14.129151][Task] <click> next_button
[2022-08-19 00:10:14.129151][mission_princess_arena][next_button][click] (1072.0, 663.0)
[2022-08-19 00:10:14.134518][mission_princess_arena][next_button][idle] 6.45 seconds
[2022-08-19 00:10:20.586029][Task] <click> blank_button
[2022-08-19 00:10:20.586029][mission_princess_arena][blank_button][click] (52.0, 147.0)
[2022-08-19 00:10:20.591878][mission_princess_arena][blank_button][idle] 3.98 seconds
[2022-08-19 00:10:24.572228][Task] <click> blank_button
[2022-08-19 00:10:24.572228][mission_princess_arena][blank_button][click] (63.0, 136.0)
[2022-08-19 00:10:24.577312][mission_princess_arena][blank_button][idle] 4.1 seconds
[2022-08-19 00:10:28.677746][Task] mission_complete
[2022-08-19 00:10:28.677746][Task] <click> main_button
[2022-08-19 00:10:28.680677][mission_complete][main_button][click] (114.0, 675.0)
[2022-08-19 00:10:28.686789][mission_complete][main_button][idle] 5.23 seconds
[2022-08-19 00:10:33.917387][Task] <click> mission_button
[2022-08-19 00:10:33.917387][mission_complete][mission_button][click] (1113.0, 581.0)
[2022-08-19 00:10:33.925200][mission_complete][mission_button][idle] 7.68 seconds
[2022-08-19 00:10:41.605975][Task] <click> receive_button
[2022-08-19 00:10:41.605975][mission_complete][receive_button][click] (1059.0, 597.0)
[2022-08-19 00:10:41.611834][mission_complete][receive_button][idle] 5.66 seconds
[2022-08-19 00:10:47.272980][Task] <click> blank_button
[2022-08-19 00:10:47.272980][mission_complete][blank_button][click] (68.0, 135.0)
[2022-08-19 00:10:47.278321][mission_complete][blank_button][idle] 3.07 seconds
[2022-08-19 00:10:50.348347][Connect] taskkill /f /im adb.exe
[2022-08-19 00:10:50.468037][Connect] F:\LDPlayer\LDPlayer4.0\adb.exe kill-server
[2022-08-19 00:10:50.471943]['SUCCESS: The process "adb.exe" with PID 11288 has been terminated.']
[2022-08-20 00:13:24.316023][Task_List] ['receive_energy', 'mission_dungeons', 'mission_arena', 'shopping', 'mission_guild', 'mission_gashapon', 'mission_explore', 'mission_princess_arena', 'mission_complete']
[2022-08-20 00:13:24.317000][Task] initial
[2022-08-20 00:13:24.317000][Task] <click> blank_button
[2022-08-20 00:13:24.317976][initial][blank_button][click] (0.0, 3.0)
[2022-08-20 00:13:24.321883][initial][blank_button][idle] 12.47 seconds
[2022-08-20 00:14:58.473699][Task_List] ['receive_energy', 'mission_dungeons', 'mission_gashapon', 'mission_guild', 'mission_arena', 'shopping', 'mission_explore', 'mission_princess_arena', 'mission_complete']
[2022-08-20 00:14:58.473699][Task] initial
[2022-08-20 00:14:58.473699][Task] <click> blank_button
[2022-08-20 00:14:58.475136][initial][blank_button][click] (4.0, 4.0)
[2022-08-20 00:14:58.478585][initial][blank_button][idle] 10.16 seconds
[2022-08-20 00:15:08.652251][Task] receive_energy
[2022-08-20 00:15:08.652251][Task] <click> home_button
[2022-08-20 00:15:08.652251][receive_energy][home_button][click] (827.0, 694.0)
[2022-08-20 00:15:08.655185][receive_energy][home_button][idle] 7.32 seconds
[2022-08-20 00:15:15.976303][Task] <click> receive_button
[2022-08-20 00:15:15.976303][receive_energy][receive_button][click] (1201.0, 561.0)
[2022-08-20 00:15:15.980210][receive_energy][receive_button][idle] 3.93 seconds
[2022-08-20 00:15:19.910650][Task] <click> blank_button
[2022-08-20 00:15:19.910650][receive_energy][blank_button][click] (69.0, 37.0)
[2022-08-20 00:15:19.914557][receive_energy][blank_button][idle] 5.58 seconds
[2022-08-20 00:15:25.494810][Task] mission_dungeons
[2022-08-20 00:15:25.494810][Task] <click> adventure_button
[2022-08-20 00:15:25.494810][mission_dungeons][adventure_button][click] (637.0, 686.0)
[2022-08-20 00:15:25.498712][mission_dungeons][adventure_button][idle] 5.23 seconds
[2022-08-20 00:15:30.729361][Task] <click> dungeons_button
[2022-08-20 00:15:30.729361][mission_dungeons][dungeons_button][click] (1177.0, 170.0)
[2022-08-20 00:15:30.733267][mission_dungeons][dungeons_button][idle] 7.6 seconds
[2022-08-20 00:15:38.333761][Task] <click> last_extreme_button
[2022-08-20 00:15:38.333761][mission_dungeons][last_extreme_button][click] (1112.0, 324.0)
[2022-08-20 00:15:38.336940][mission_dungeons][last_extreme_button][idle] 4.41 seconds
[2022-08-20 00:15:42.747397][Task] <click> ok_button
[2022-08-20 00:15:42.747397][mission_dungeons][ok_button][click] (772.0, 571.0)
[2022-08-20 00:15:42.751300][mission_dungeons][ok_button][idle] 7.22 seconds
[2022-08-20 00:15:49.971577][Task] <click> first_enemy
[2022-08-20 00:15:49.971577][mission_dungeons][first_enemy][click] (905.0, 362.0)
[2022-08-20 00:15:49.976686][mission_dungeons][first_enemy][idle] 4.07 seconds
[2022-08-20 00:15:54.048779][Task] <click> challenge_button
[2022-08-20 00:15:54.048779][mission_dungeons][challenge_button][click] (1121.0, 607.0)
[2022-08-20 00:15:54.053677][mission_dungeons][challenge_button][idle] 6.87 seconds
[2022-08-20 00:16:00.924168][Task] <click> my_team_button
[2022-08-20 00:16:00.924168][mission_dungeons][my_team_button][click] (1138.0, 121.0)
[2022-08-20 00:16:00.929456][mission_dungeons][my_team_button][idle] 3.73 seconds
[2022-08-20 00:16:04.659996][Task] <click> call_button
[2022-08-20 00:16:04.659996][mission_dungeons][call_button][click] (1030.0, 276.0)
[2022-08-20 00:16:04.665617][mission_dungeons][call_button][idle] 3.79 seconds
[2022-08-20 00:16:08.455761][Task] <click> attack_button
[2022-08-20 00:16:08.455761][mission_dungeons][attack_button][click] (1108.0, 604.0)
[2022-08-20 00:16:08.462597][mission_dungeons][attack_button][idle] 36.82 seconds
[2022-08-20 00:16:45.282748][Task] <click> next_button
[2022-08-20 00:16:45.282748][mission_dungeons][next_button][click] (1089.0, 655.0)
[2022-08-20 00:16:45.287865][mission_dungeons][next_button][idle] 6.76 seconds
[2022-08-20 00:16:52.048646][Task] <click> blank_button
[2022-08-20 00:16:52.048646][mission_dungeons][blank_button][click] (58.0, 132.0)
[2022-08-20 00:16:52.054505][mission_dungeons][blank_button][idle] 8.67 seconds
[2022-08-20 00:17:00.724525][Task] <click> second_enemy
[2022-08-20 00:17:00.724787][mission_dungeons][second_enemy][click] (640.0, 341.0)
[2022-08-20 00:17:00.729666][mission_dungeons][second_enemy][idle] 5.69 seconds
[2022-08-20 00:17:06.420689][Task] <click> challenge_button
[2022-08-20 00:17:06.420689][mission_dungeons][challenge_button][click] (1112.0, 614.0)
[2022-08-20 00:17:06.425780][mission_dungeons][challenge_button][idle] 5.01 seconds
[2022-08-20 00:17:11.436996][Task] <click> attack_button
[2022-08-20 00:17:11.436996][mission_dungeons][attack_button][click] (1100.0, 603.0)
[2022-08-20 00:17:11.441879][mission_dungeons][attack_button][idle] 36.33 seconds
[2022-08-20 00:17:47.773515][Task] <click> next_button
[2022-08-20 00:17:47.773515][mission_dungeons][next_button][click] (1092.0, 659.0)
[2022-08-20 00:17:47.778398][mission_dungeons][next_button][idle] 6.25 seconds
[2022-08-20 00:17:54.028431][Task] <click> blank_button
[2022-08-20 00:17:54.028431][mission_dungeons][blank_button][click] (60.0, 138.0)
[2022-08-20 00:17:54.033852][mission_dungeons][blank_button][idle] 8.21 seconds
[2022-08-20 00:18:02.246066][Task] <click> third_enemy
[2022-08-20 00:18:02.246066][mission_dungeons][third_enemy][click] (298.0, 327.0)
[2022-08-20 00:18:02.250949][mission_dungeons][third_enemy][idle] 3.47 seconds
[2022-08-20 00:18:05.721361][Task] <click> challenge_button
[2022-08-20 00:18:05.721361][mission_dungeons][challenge_button][click] (1107.0, 612.0)
[2022-08-20 00:18:05.726884][mission_dungeons][challenge_button][idle] 7.26 seconds
[2022-08-20 00:18:12.988621][Task] <click> attack_button
[2022-08-20 00:18:12.988621][mission_dungeons][attack_button][click] (1120.0, 603.0)
[2022-08-20 00:18:12.993504][mission_dungeons][attack_button][idle] 36.72 seconds
[2022-08-20 00:18:49.714052][Task] <click> next_button
[2022-08-20 00:18:49.714052][mission_dungeons][next_button][click] (1120.0, 660.0)
[2022-08-20 00:18:49.719046][mission_dungeons][next_button][idle] 5.75 seconds
[2022-08-20 00:18:55.470187][Task] <click> blank_button
[2022-08-20 00:18:55.470187][mission_dungeons][blank_button][click] (51.0, 132.0)
[2022-08-20 00:18:55.474785][mission_dungeons][blank_button][idle] 7.12 seconds
[2022-08-20 00:19:02.595885][Task] <click> fourth_enemy
[2022-08-20 00:19:02.595885][mission_dungeons][fourth_enemy][click] (659.0, 333.0)
[2022-08-20 00:19:02.601744][mission_dungeons][fourth_enemy][idle] 4.98 seconds
[2022-08-20 00:19:07.583403][Task] <click> challenge_button
[2022-08-20 00:19:07.583991][mission_dungeons][challenge_button][click] (1107.0, 611.0)
[2022-08-20 00:19:07.589135][mission_dungeons][challenge_button][idle] 7.95 seconds
[2022-08-20 00:19:15.539679][Task] <click> attack_button
[2022-08-20 00:19:15.539679][mission_dungeons][attack_button][click] (1129.0, 603.0)
[2022-08-20 00:19:15.545801][mission_dungeons][attack_button][idle] 35.81 seconds
[2022-08-20 00:19:51.355939][Task] <click> next_button
[2022-08-20 00:19:51.355939][mission_dungeons][next_button][click] (1084.0, 650.0)
[2022-08-20 00:19:51.360822][mission_dungeons][next_button][idle] 5.74 seconds
[2022-08-20 00:19:57.101584][Task] <click> blank_button
[2022-08-20 00:19:57.101584][mission_dungeons][blank_button][click] (53.0, 132.0)
[2022-08-20 00:19:57.106466][mission_dungeons][blank_button][idle] 9.21 seconds
[2022-08-20 00:20:06.318223][Task] <click> retreat_button
[2022-08-20 00:20:06.318223][mission_dungeons][retreat_button][click] (1082.0, 571.0)
[2022-08-20 00:20:06.335543][mission_dungeons][retreat_button][idle] 5.86 seconds
[2022-08-20 00:20:12.195628][Task] <click> comfirm_button
[2022-08-20 00:20:12.195628][mission_dungeons][comfirm_button][click] (790.0, 498.0)
[2022-08-20 00:20:12.200512][mission_dungeons][comfirm_button][idle] 5.22 seconds
[2022-08-20 00:20:17.422342][Task] mission_gashapon
[2022-08-20 00:20:17.422342][Task] <click> gashapon_button
[2022-08-20 00:20:17.424046][mission_gashapon][gashapon_button][click] (1016.0, 673.0)
[2022-08-20 00:20:17.427108][mission_gashapon][gashapon_button][idle] 7.22 seconds
[2022-08-20 00:20:24.648449][Task] <click> blank_button
[2022-08-20 00:20:24.648449][mission_gashapon][blank_button][click] (59.0, 146.0)
[2022-08-20 00:20:24.653332][mission_gashapon][blank_button][idle] 4.74 seconds
[2022-08-20 00:20:29.393736][Task] <click> normal_button
[2022-08-20 00:20:29.393736][mission_gashapon][normal_button][click] (1190.0, 99.0)
[2022-08-20 00:20:29.398620][mission_gashapon][normal_button][idle] 6.43 seconds
[2022-08-20 00:20:35.830350][Task] <click> free_button
[2022-08-20 00:20:35.830350][mission_gashapon][free_button][click] (974.0, 459.0)
[2022-08-20 00:20:35.835941][mission_gashapon][free_button][idle] 3.61 seconds
[2022-08-20 00:20:39.446173][Task] <click> ok_button
[2022-08-20 00:20:39.446173][mission_gashapon][ok_button][click] (800.0, 486.0)
[2022-08-20 00:20:39.450079][mission_gashapon][ok_button][idle] 10.59 seconds
[2022-08-20 00:20:50.041908][Task] <click> receive_button
[2022-08-20 00:20:50.041908][mission_gashapon][receive_button][click] (655.0, 593.0)
[2022-08-20 00:20:50.058832][mission_gashapon][receive_button][idle] 5.81 seconds
[2022-08-20 00:20:55.870368][Task] mission_guild
[2022-08-20 00:20:55.870368][Task] <click> main_button
[2022-08-20 00:20:55.872322][mission_guild][main_button][click] (115.0, 695.0)
[2022-08-20 00:20:55.875135][mission_guild][main_button][idle] 7.46 seconds
[2022-08-20 00:21:03.335964][Task] <click> guild_button
[2022-08-20 00:21:03.335964][mission_guild][guild_button][click] (922.0, 574.0)
[2022-08-20 00:21:03.340847][mission_guild][guild_button][idle] 7.61 seconds
[2022-08-20 00:21:10.951481][Task] <click> blank_button
[2022-08-20 00:21:10.951481][mission_guild][blank_button][click] (50.0, 141.0)
[2022-08-20 00:21:10.957473][mission_guild][blank_button][idle] 4.7 seconds
[2022-08-20 00:21:15.658387][Task] <click> friend_button
[2022-08-20 00:21:15.658387][mission_guild][friend_button][click] (322.0, 462.0)
[2022-08-20 00:21:15.664250][mission_guild][friend_button][idle] 7.23 seconds
[2022-08-20 00:21:22.895073][Task] <click> like_button
[2022-08-20 00:21:22.895306][mission_guild][like_button][click] (1101.0, 420.0)
[2022-08-20 00:21:22.901158][mission_guild][like_button][idle] 3.38 seconds
[2022-08-20 00:21:26.281544][Task] <click> blank_button
[2022-08-20 00:21:26.281544][mission_guild][blank_button][click] (70.0, 130.0)
[2022-08-20 00:21:26.286427][mission_guild][blank_button][idle] 3.04 seconds
[2022-08-20 00:21:29.327007][Task] mission_arena
[2022-08-20 00:21:29.327007][Task] <click> adventure_button
[2022-08-20 00:21:29.329936][mission_arena][adventure_button][click] (628.0, 684.0)
[2022-08-20 00:21:29.332866][mission_arena][adventure_button][idle] 7.97 seconds
[2022-08-20 00:21:37.303818][Task] <click> arena_button
[2022-08-20 00:21:37.303818][mission_arena][arena_button][click] (794.0, 533.0)
[2022-08-20 00:21:37.308692][mission_arena][arena_button][idle] 7.31 seconds
[2022-08-20 00:21:44.618782][Task] <click> blank_button
[2022-08-20 00:21:44.618782][mission_arena][blank_button][click] (60.0, 145.0)
[2022-08-20 00:21:44.623680][mission_arena][blank_button][idle] 5.6 seconds
[2022-08-20 00:21:50.223879][Task] <click> receive_button
[2022-08-20 00:21:50.223879][mission_arena][receive_button][click] (394.0, 454.0)
[2022-08-20 00:21:50.229602][mission_arena][receive_button][idle] 4.51 seconds
[2022-08-20 00:21:54.739607][Task] <click> blank_button
[2022-08-20 00:21:54.739607][mission_arena][blank_button][click] (62.0, 135.0)
[2022-08-20 00:21:54.744491][mission_arena][blank_button][idle] 4.97 seconds
[2022-08-20 00:21:59.715697][Task] <click> first_person
[2022-08-20 00:21:59.715697][mission_arena][first_person][click] (800.0, 232.0)
[2022-08-20 00:21:59.732964][mission_arena][first_person][idle] 3.63 seconds
[2022-08-20 00:22:03.364429][Task] <click> attack_button
[2022-08-20 00:22:03.364757][mission_arena][attack_button][click] (1109.0, 595.0)
[2022-08-20 00:22:03.369313][mission_arena][attack_button][idle] 7.63 seconds
[2022-08-20 00:22:10.999614][Task] <click> skip_button
[2022-08-20 00:22:10.999614][mission_arena][skip_button][click] (1223.0, 476.0)
[2022-08-20 00:22:11.004510][mission_arena][skip_button][idle] 8.35 seconds
[2022-08-20 00:22:19.355406][Task] <click> next_button
[2022-08-20 00:22:19.355406][mission_arena][next_button][click] (1139.0, 658.0)
[2022-08-20 00:22:19.361268][mission_arena][next_button][idle] 7.9 seconds
[2022-08-20 00:22:27.262739][Task] <click> blank_button
[2022-08-20 00:22:27.262739][mission_arena][blank_button][click] (55.0, 135.0)
[2022-08-20 00:22:27.267621][mission_arena][blank_button][idle] 3.89 seconds
[2022-08-20 00:22:31.158829][Task] <click> blank_button
[2022-08-20 00:22:31.158829][mission_arena][blank_button][click] (52.0, 134.0)
[2022-08-20 00:22:31.164688][mission_arena][blank_button][idle] 3.56 seconds
[2022-08-20 00:22:34.724822][Task] shopping
[2022-08-20 00:22:34.724822][Task] <click> main_button
[2022-08-20 00:22:34.726777][shopping][main_button][click] (133.0, 678.0)
[2022-08-20 00:22:34.730683][shopping][main_button][idle] 5.29 seconds
[2022-08-20 00:22:40.021690][Task] <click> shop_button
[2022-08-20 00:22:40.021690][shopping][shop_button][click] (822.0, 578.0)
[2022-08-20 00:22:40.026574][shopping][shop_button][idle] 6.18 seconds
[2022-08-20 00:22:46.206741][Task] <click> first_cargo
[2022-08-20 00:22:46.206741][shopping][first_cargo][click] (510.0, 199.0)
[2022-08-20 00:22:46.211625][shopping][first_cargo][idle] 2.91 seconds
[2022-08-20 00:22:49.122984][Task] <click> second_cargo
[2022-08-20 00:22:49.123547][shopping][second_cargo][click] (750.0, 196.0)
[2022-08-20 00:22:49.129440][shopping][second_cargo][idle] 1.04 seconds
[2022-08-20 00:22:50.170289][Task] <click> third_cargo
[2022-08-20 00:22:50.170289][shopping][third_cargo][click] (969.0, 195.0)
[2022-08-20 00:22:50.175733][shopping][third_cargo][idle] 2.1 seconds
[2022-08-20 00:22:52.276514][Task] <click> fourth_cargo
[2022-08-20 00:22:52.276514][shopping][fourth_cargo][click] (1197.0, 205.0)
[2022-08-20 00:22:52.282373][shopping][fourth_cargo][idle] 2.37 seconds
[2022-08-20 00:22:54.652665][Task] <click> buy_button
[2022-08-20 00:22:54.652665][shopping][buy_button][click] (1129.0, 585.0)
[2022-08-20 00:22:54.656798][shopping][buy_button][idle] 6.0 seconds
[2022-08-20 00:23:00.658735][Task] <click> ok_button
[2022-08-20 00:23:00.658735][shopping][ok_button][click] (812.0, 633.0)
[2022-08-20 00:23:00.663620][shopping][ok_button][idle] 3.79 seconds
[2022-08-20 00:23:04.454775][Task] <click> blank_button
[2022-08-20 00:23:04.455346][shopping][blank_button][click] (194.0, 202.0)
[2022-08-20 00:23:04.460214][shopping][blank_button][idle] 3.78 seconds
[2022-08-20 00:23:08.240611][Task] mission_explore
[2022-08-20 00:23:08.240611][Task] <click> adventure_button
[2022-08-20 00:23:08.243542][mission_explore][adventure_button][click] (633.0, 675.0)
[2022-08-20 00:23:08.247958][mission_explore][adventure_button][idle] 6.06 seconds
[2022-08-20 00:23:14.308444][Task] <click> explore_button
[2022-08-20 00:23:14.308444][mission_explore][explore_button][click] (993.0, 176.0)
[2022-08-20 00:23:14.314078][mission_explore][explore_button][idle] 7.91 seconds
[2022-08-20 00:23:22.224473][Task] <click> exp_button
[2022-08-20 00:23:22.224473][mission_explore][exp_button][click] (767.0, 308.0)
[2022-08-20 00:23:22.229355][mission_explore][exp_button][idle] 7.5 seconds
[2022-08-20 00:23:29.730044][Task] <click> level_button
[2022-08-20 00:23:29.730044][mission_explore][level_button][click] (960.0, 191.0)
[2022-08-20 00:23:29.735909][mission_explore][level_button][idle] 6.72 seconds
[2022-08-20 00:23:36.457134][Task] <click> attack_button
[2022-08-20 00:23:36.457134][mission_explore][attack_button][click] (1023.0, 440.0)
[2022-08-20 00:23:36.462018][mission_explore][attack_button][idle] 3.15 seconds
[2022-08-20 00:23:39.612360][Task] <click> ok_button
[2022-08-20 00:23:39.613337][mission_explore][ok_button][click] (799.0, 489.0)
[2022-08-20 00:23:39.630293][mission_explore][ok_button][idle] 9.03 seconds
[2022-08-20 00:23:48.660489][Task] <click> blank_button
[2022-08-20 00:23:48.660489][mission_explore][blank_button][click] (70.0, 150.0)
[2022-08-20 00:23:48.665954][mission_explore][blank_button][idle] 5.19 seconds
[2022-08-20 00:23:53.857825][Task] <click> level_button
[2022-08-20 00:23:53.857825][mission_explore][level_button][click] (945.0, 198.0)
[2022-08-20 00:23:53.862709][mission_explore][level_button][idle] 5.34 seconds
[2022-08-20 00:23:59.203674][Task] <click> attack_button
[2022-08-20 00:23:59.203674][mission_explore][attack_button][click] (1017.0, 442.0)
[2022-08-20 00:23:59.208557][mission_explore][attack_button][idle] 3.07 seconds
[2022-08-20 00:24:02.278796][Task] <click> ok_button
[2022-08-20 00:24:02.278796][mission_explore][ok_button][click] (782.0, 493.0)
[2022-08-20 00:24:02.284665][mission_explore][ok_button][idle] 7.55 seconds
[2022-08-20 00:24:09.839044][Task] <click> blank_button
[2022-08-20 00:24:09.839044][mission_explore][blank_button][click] (57.0, 143.0)
[2022-08-20 00:24:09.844907][mission_explore][blank_button][idle] 6.41 seconds
[2022-08-20 00:24:16.255731][Task] mission_princess_arena
[2022-08-20 00:24:16.255731][Task] <click> adventure_button
[2022-08-20 00:24:16.257684][mission_princess_arena][adventure_button][click] (621.0, 684.0)
[2022-08-20 00:24:16.262569][mission_princess_arena][adventure_button][idle] 7.31 seconds
[2022-08-20 00:24:23.573821][Task] <click> princess_arena_button
[2022-08-20 00:24:23.573821][mission_princess_arena][princess_arena_button][click] (1146.0, 534.0)
[2022-08-20 00:24:23.578680][mission_princess_arena][princess_arena_button][idle] 6.08 seconds
[2022-08-20 00:24:29.659482][Task] <click> blank_button
[2022-08-20 00:24:29.659482][mission_princess_arena][blank_button][click] (65.0, 143.0)
[2022-08-20 00:24:29.665153][mission_princess_arena][blank_button][idle] 5.17 seconds
[2022-08-20 00:24:34.835739][Task] <click> receive_button
[2022-08-20 00:24:34.835739][mission_princess_arena][receive_button][click] (397.0, 455.0)
[2022-08-20 00:24:34.840623][mission_princess_arena][receive_button][idle] 5.46 seconds
[2022-08-20 00:24:40.300628][Task] <click> blank_button
[2022-08-20 00:24:40.300628][mission_princess_arena][blank_button][click] (59.0, 144.0)
[2022-08-20 00:24:40.305755][mission_princess_arena][blank_button][idle] 3.48 seconds
[2022-08-20 00:24:43.786446][Task] <click> first_person
[2022-08-20 00:24:43.786446][mission_princess_arena][first_person][click] (814.0, 236.0)
[2022-08-20 00:24:43.792306][mission_princess_arena][first_person][idle] 4.83 seconds
[2022-08-20 00:24:48.622331][Task] <click> next_team_button
[2022-08-20 00:24:48.622331][mission_princess_arena][next_team_button][click] (1120.0, 602.0)
[2022-08-20 00:24:48.628332][mission_princess_arena][next_team_button][idle] 5.8 seconds
[2022-08-20 00:24:54.428993][Task] <click> next_team_button
[2022-08-20 00:24:54.428993][mission_princess_arena][next_team_button][click] (1140.0, 596.0)
[2022-08-20 00:24:54.435456][mission_princess_arena][next_team_button][idle] 4.86 seconds
[2022-08-20 00:24:59.296738][Task] <click> attack_button
[2022-08-20 00:24:59.296738][mission_princess_arena][attack_button][click] (1108.0, 597.0)
[2022-08-20 00:24:59.302597][mission_princess_arena][attack_button][idle] 10.57 seconds
[2022-08-20 00:25:09.872655][Task] <click> skip_button
[2022-08-20 00:25:09.872655][mission_princess_arena][skip_button][click] (1211.0, 477.0)
[2022-08-20 00:25:09.878514][mission_princess_arena][skip_button][idle] 12.34 seconds
[2022-08-20 00:25:22.218654][Task] <click> next_button
[2022-08-20 00:25:22.218654][mission_princess_arena][next_button][click] (1063.0, 656.0)
[2022-08-20 00:25:22.223537][mission_princess_arena][next_button][idle] 7.16 seconds
[2022-08-20 00:25:29.385598][Task] <click> blank_button
[2022-08-20 00:25:29.385598][mission_princess_arena][blank_button][click] (69.0, 145.0)
[2022-08-20 00:25:29.391458][mission_princess_arena][blank_button][idle] 3.25 seconds
